/problem             ,/plan_properties/number_of_steps,/plan_properties/number_of_actions,/plan_properties/number_of_agents,/simulation/failed_actions                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,/simulation/failed_actions_cardinality,/cnf_model_details/failure_model,/cnf_model_details/conflict_model,/cnf_model_details/conflict_retries_model,/cnf_model_details/max_failures_restriction,/cnf/clauses_num,/cnf/variables_num,/execution_time/cnf_compilation_mils,/execution_time/final_var_state_calc_mils,/execution_time/sat_solving_mils/0,/execution_time/sat_solving_mils/1,/solution/number_of_solutions,/solution/solution_index,/solution/solution_cardinality,/execution_time/sat_solving_mils/2,/execution_time/sat_solving_mils/3,/execution_time/sat_solving_mils/4,/execution_time/sat_solving_mils/5,/execution_time/sat_solving_mils/6,/execution_time/sat_solving_mils/7
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:03, Agent:slow0-0,Action:move-down-slow~slow0-0~n3~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                   ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,94.0                                     ,110.0                             ,31.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:06, Agent:slow0-0,Action:leave~p3~slow0-0~n4~n1~n0=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,63.0                                     ,31.0                              ,16.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:02, Agent:slow0-0,Action:leave~p5~slow0-0~n3~n1~n0=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,110.0                                    ,16.0                              ,32.0                              ,2.0                          ,1.0                     ,1.0                           ,16.0                              ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:04, Agent:slow0-0,Action:board~p3~slow0-0~n1~n0~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,218.0                                    ,46.0                              ,47.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:01, Agent:fast0,Action:board~p0~fast0~n10~n0~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                         ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,266.0                                    ,47.0                              ,16.0                              ,2.0                          ,0.0                     ,1.0                           ,0.0                               ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:04, Agent:fast0,Action:leave~p0~fast0~n0~n2~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                          ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,79.0                                     ,15.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:03, Agent:fast0,Action:move-down-fast~fast0~n10~n0=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,63.0                                     ,16.0                              ,15.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:05, Agent:slow0-0,Action:move-up-slow~slow0-0~n1~n4=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                     ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,62.0                                     ,0.0                               ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:00, Agent:fast0,Action:move-up-fast~fast0~n0~n10=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                        ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,63.0                                     ,15.0                              ,16.0                              ,2.0                          ,1.0                     ,1.0                           ,15.0                              ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:12, Agent:slow1-0,Action:move-up-slow~slow1-0~n5~n8=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                     ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,78.0                                     ,15.0                              ,0.0                               ,2.0                          ,0.0                     ,1.0                           ,0.0                               ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:02, Agent:fast0,Action:board~p2~fast0~n10~n1~n2=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                         ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,94.0                                     ,16.0                              ,31.0                              ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:01, Agent:slow0-0,Action:move-down-slow~slow0-0~n4~n3=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                   ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,203.0                                    ,31.0                              ,47.0                              ,2.0                          ,0.0                     ,1.0                           ,47.0                              ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:09, Agent:slow1-0,Action:leave~p1~slow1-0~n7~n2~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,140.0                                    ,0.0                               ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:13, Agent:slow1-0,Action:board~p4~slow1-0~n8~n0~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,78.0                                     ,0.0                               ,16.0                              ,2.0                          ,1.0                     ,1.0                           ,0.0                               ,                                  ,                                  ,                                  ,                                  ,
"elevator28.problem" ,16.0                            ,24.0                              ,3.0                              ,"[Index:00, Agent:slow0-0,Action:board~p5~slow0-0~n4~n0~n1=FAILED]"                                                                                                                                                                                                                                                                                                                                                                                                                      ,1.0                                   ,"no effects model"              ,"no effects model"               ,"one retry"                              ,1.0                                        ,3273.0          ,1489.0            ,1282.0                              ,78.0                                     ,16.0                              ,0.0                               ,1.0                          ,0.0                     ,1.0                           ,                                  ,                                  ,                                  ,                                  ,                                  ,
